2167	-1068	-1232
2174	-1063	-1232
2162	-1047	-1231
2150	-952	-1236
2142	-913	-1232
2176	-1073	-1226
2181	-1066	-1225
2176	-1054	-1228
2163	-1039	-1225
2160	-1028	-1226
2152	-1015	-1224
2150	-1005	-1225
2161	-1000	-1224
2147	-987	-1225
2144	-975	-1228
2153	-979	-1223
2149	-969	-1227
2144.5	-953.5	-1225.5
2151	-960	-1222
2143.5	-935	-1223.5
2142	-922	-1225
2144	-913	-1223
2038	-439	-1222
2181	-1075	-1218
2178	-1064	-1213
2177	-1055	-1218
2170	-1043	-1218
2166	-1031	-1219
2170	-1032	-1211
2163.5	-1016	-1215.5
2160	-1010	-1219
2161	-1000	-1213
2154	-990	-1218
2155	-980	-1213
2153	-966	-1215
2151	-952	-1216
2154	-944	-1212
2146	-936	-1215
2144	-923	-1215
2143	-913	-1211
2138	-902	-1217
2098	-728	-1214
2095	-715	-1217.5
2097	-704	-1219
2041	-477	-1217
2052	-480	-1213
2043	-466.5	-1215
2038	-454	-1214
2038	-446	-1220
2043	-447	-1213
2038	-439	-1212
2179	-1074	-1206
2177	-1064	-1202
2180	-1056	-1209
2175	-1045	-1210
2172	-1034	-1201
2170	-1023	-1203
2165.5	-1016.5	-1206
2157	-991	-1210
2160.5	-996.5	-1202
2159	-982	-1205
2156.5	-972.5	-1204.5
2158	-964	-1205
2154	-953	-1207
2151	-943	-1200
2153	-935	-1204
2145	-923	-1205
2144	-913	-1202
2139	-903	-1207
2142	-895	-1209
2131	-839	-1202
2128	-812	-1202
2108	-764	-1203
2105	-754	-1201
2105	-738	-1203
2100	-721	-1205
2103	-729	-1206
2097	-711	-1209
2096	-704	-1208
2095	-694	-1205
2093	-687	-1202
2077	-617	-1203
2073	-605	-1202.5
2076	-594	-1203
2072	-577	-1203
2065	-568	-1203
2060	-528	-1201
2048	-475	-1204.5
2051	-472	-1201
2046	-463	-1207
2040	-454	-1206
2039	-447	-1201
2040	-439	-1203
2032	-423	-1200
2021	-377	-1202
2025	-366	-1202.5
2020	-355	-1201
1994	-267	-1202
1993	-253	-1202
